Max. CPC,Campaign,Ad group,Match type,First page CPC,Top of page CPC,First position CPC,Keyword,Labels,Customer ID,Campaign ID,Ad group ID,Keyword ID,Quality score,Qual. score (hist.),Expected clickthrough rate,Expected clickthrough rate (hist.),Landing page experience,Landing page experience (hist.),Ad relevance,Ad relevance (hist.),Clicks,Impressions,Cost,CTR,Avg. CPC,Avg. position,Impr. (Top) %,Impr. (Abs. Top) %,Conversions,All conv.,All conv. value,All conv. rate,Total conv. value,View-through conv.,Conv. rate,Value / conv.,Cost / all conv.,Cost / conv.,Click Assisted Conv.,Impr. Assisted Conv.,Search Exact match IS,Search Impr. share,Search Lost IS (rank),Search abs. top IS,Search top IS,Search lost top IS (rank),Search lost abs. top IS (rank)
auto: 20000000,Sales-Search-1,Ad group 1,Broad,0,0, --,ghi, --,7555559366,2030792152,71420163106,23200391, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my1,mygroup2,Broad,0,0, --,ykeyword, --,7555559366,2066261994,77744103553,787028346169, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my1,samadgroup,Broad,0,0, --,hehehaha, --,7555559366,2066261994,75822879265,314051981440, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 20000000,Sales-Search-1,Ad group 1,Broad,0,0, --,abc, --,7555559366,2030792152,71420163106,10689631, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 20000000,Sales-Search-1,Ad group 1,Broad,0,0, --,def, --,7555559366,2030792152,71420163106,10001683, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
1000000,my1,samadgroup,Broad,0,0, --,hotkeyword, --,7555559366,2066261994,75822879265,791279557814, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 5000000,XYZ,Ad group 1,Broad,0,0, --,test keyword, --,7555559366,2030405009,77474079011,91929494, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 5000000,XYZ,Ad group 1,Broad,0,0, --,promo, --,7555559366,2030405009,77474079011,10235886, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 5000000,XYZ,Ad group 1,Broad,0,0, --,supersavermama, --,7555559366,2030405009,77474079011,767423277118, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 5000000,XYZ,Ad group 1,Broad,0,0, --,site, --,7555559366,2030405009,77474079011,10214891, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 1000000,Sales-Search-1,Earth to Mars Cruises #812394a4-dd04-4847-b456-00e3addb3dec,Broad,0,0, --,noob1, --,7555559366,2030792152,75635504287,811603184786, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
auto: 5000000,XYZ,Ad group 1,Broad,0,0, --,coupon, --,7555559366,2030405009,77474079011,10468501, --, --, --, --, --, --, --, --,0,0,0,0.00%,0,0.0,0.00,0.00,0.00,0.00,0.00,0.00%,0.00,0,0.00%,0.00,0,0,0,0, --, --, --, --,0.00,0.00,0.00
